date,Total,Men,Women
2011-10-01,64.1,70.4,58.1
2011-11-01,64.1,70.5,58.0
2011-12-01,64.0,70.5,57.8
2012-01-01,63.7,70.2,57.7
2012-02-01,63.8,70.2,57.8
2012-03-01,63.8,70.2,57.8
2012-04-01,63.7,70.1,57.6
2012-05-01,63.7,70.2,57.7
2012-06-01,63.8,70.3,57.7
2012-07-01,63.7,70.2,57.6
2012-08-01,63.5,69.9,57.6
2012-09-01,63.6,70.1,57.6
2012-10-01,63.8,70.3,57.7
2012-11-01,63.6,70.1,57.6
2012-12-01,63.7,70.1,57.7
2013-01-01,63.7,70.3,57.5
2013-02-01,63.4,70.0,57.3
2013-03-01,63.3,69.7,57.2
2013-04-01,63.4,69.9,57.3
2013-05-01,63.4,69.9,57.3
2013-06-01,63.4,69.9,57.4
2013-07-01,63.3,69.8,57.3
2013-08-01,63.3,69.6,57.3
2013-09-01,63.2,69.8,57.1
2013-10-01,62.8,69.2,56.8
2013-11-01,63.0,69.5,56.9
2013-12-01,62.9,69.2,57.0
2014-01-01,62.9,69.2,57.0
2014-02-01,62.9,69.0,57.2
2014-03-01,63.1,69.4,57.2
2014-04-01,62.8,69.0,57.0
2014-05-01,62.9,69.1,57.1
2014-06-01,62.8,69.2,56.9
2014-07-01,62.9,69.3,56.9
2014-08-01,62.9,69.4,56.9
2014-09-01,62.8,69.2,56.8
2014-10-01,62.9,69.2,57.1
2014-11-01,62.9,69.2,57.0
2014-12-01,62.8,69.3,56.7
2015-01-01,62.9,69.3,56.9
2015-02-01,62.7,69.2,56.6
2015-03-01,62.6,69.1,56.6
2015-04-01,62.8,69.3,56.7
2015-05-01,62.9,69.4,56.9
2015-06-01,62.7,69.0,56.8
2015-07-01,62.6,69.0,56.6
2015-08-01,62.6,69.0,56.7
2015-09-01,62.4,68.8,56.4
2015-10-01,62.5,68.8,56.6
2015-11-01,62.5,68.7,56.8
2015-12-01,62.7,69.0,56.8
2016-01-01,62.7,68.9,56.9
2016-02-01,62.8,69.2,56.8
2016-03-01,63.0,69.3,57.1
2016-04-01,62.9,69.3,56.9
2016-05-01,62.7,69.0,56.8
2016-06-01,62.7,69.3,56.6
2016-07-01,62.8,69.3,56.6
2016-08-01,62.9,69.3,56.8
2016-09-01,62.9,69.3,56.8
2016-10-01,62.8,69.2,56.8
2016-11-01,62.7,69.0,56.7
2016-12-01,62.7,69.0,56.7
2017-01-01,62.8,69.1,56.9
2017-02-01,62.9,69.2,57.0
2017-03-01,62.9,69.1,57.2
2017-04-01,63.0,69.2,57.2
2017-05-01,62.8,69.0,57.1
2017-06-01,62.8,69.1,57.0
2017-07-01,62.9,69.0,57.2
2017-08-01,62.9,69.1,57.1
2017-09-01,63.1,69.3,57.2
2017-10-01,62.7,69.0,56.8
2017-11-01,62.7,68.9,57.0
2017-12-01,62.7,69.0,56.8
2018-01-01,62.7,69.0,56.7
2018-02-01,63.0,69.3,57.1
2018-03-01,62.9,69.2,56.9
2018-04-01,62.9,69.3,56.9
2018-05-01,62.9,69.3,56.9
2018-06-01,63.0,69.2,57.2
2018-07-01,63.0,68.9,57.4
2018-08-01,62.6,68.8,56.9
2018-09-01,62.8,68.8,57.1
2018-10-01,62.9,68.9,57.3
2018-11-01,62.9,68.9,57.3
2018-12-01,63.0,69.0,57.4
2019-01-01,63.1,69.1,57.5
2019-02-01,63.1,69.0,57.6
2019-03-01,63.0,69.0,57.4
2019-04-01,62.8,68.9,57.1
2019-05-01,62.9,69.1,57.1
2019-06-01,63.0,69.2,57.2
2019-07-01,63.1,69.4,57.2
2019-08-01,63.1,69.2,57.4
2019-09-01,63.2,69.2,57.6
2019-10-01,63.3,69.2,57.7
2019-11-01,63.3,69.3,57.6
2019-12-01,63.3,69.2,57.8
2020-01-01,63.3,69.2,57.8
2020-02-01,63.3,69.1,58.0
2020-03-01,62.6,68.4,57.1
2020-04-01,60.1,66.1,54.6
2020-05-01,60.8,66.7,55.2
2020-06-01,61.5,67.3,56.0
2020-07-01,61.5,67.3,56.1
2020-08-01,61.7,67.7,56.0
2020-09-01,61.4,67.5,55.7
2020-10-01,61.7,67.8,56.0
2020-11-01,61.5,67.5,56.0
2020-12-01,61.5,67.4,56.0
2021-01-01,61.4,67.4,55.7
2021-02-01,61.4,67.3,55.9
2021-03-01,61.5,67.1,56.2
2021-04-01,61.6,67.5,56.0
2021-05-01,61.6,67.6,55.9
2021-06-01,61.7,67.6,56.1
2021-07-01,61.8,67.8,56.2
2021-08-01,61.7,67.8,56.1
2021-09-01,61.7,67.7,56.0
2021-10-01,61.8,67.7,56.1
2021-11-01,61.9,67.9,56.3
2021-12-01,62.0,67.8,56.5
2022-01-01,62.2,67.8,56.8
2022-02-01,62.3,68.2,56.6
2022-03-01,62.4,68.1,56.9
2022-04-01,62.2,67.9,56.7
2022-05-01,62.3,68.0,56.9
2022-06-01,62.2,67.8,56.8
2022-07-01,62.1,67.7,56.9
2022-08-01,62.3,67.8,57.1
2022-09-01,62.2,68.0,56.7
2022-10-01,62.2,68.1,56.6
2022-11-01,62.1,68.0,56.5
2022-12-01,62.3,68.1,56.8
2023-01-01,62.4,68.0,57.0
2023-02-01,62.5,68.1,57.2
2023-03-01,62.6,68.3,57.2
2023-04-01,62.6,68.1,57.3
2023-05-01,62.6,68.1,57.3
2023-06-01,62.6,68.0,57.3
2023-07-01,62.6,68.0,57.4
2023-08-01,62.8,68.1,57.7
2023-09-01,62.7,68.2,57.4
2023-10-01,62.6,67.9,57.6
2023-11-01,62.8,68.4,57.4
2023-12-01,62.5,68.1,57.1
2024-01-01,62.5,67.9,57.4
2024-02-01,62.6,67.8,57.6
2024-03-01,62.7,68.1,57.6
2024-04-01,62.6,67.9,57.7
2024-05-01,62.6,67.8,57.6
2024-06-01,62.6,68.1,57.4
2024-07-01,62.7,68.1,57.5
2024-08-01,62.7,67.8,57.8
2024-09-01,62.7,68.1,57.5
2024-10-01,62.5,68.1,57.3
2024-11-01,62.4,67.9,57.3
2024-12-01,62.5,67.9,57.3
2025-01-01,62.6,68.0,57.5
2025-02-01,62.5,67.7,57.5
2025-03-01,62.5,67.8,57.4
2025-04-01,62.6,68.0,57.5
2025-05-01,62.4,67.8,57.2
2025-06-01,62.3,67.8,57.0
2025-07-01,62.2,67.7,57.1
2025-08-01,62.3,67.9,57.0
2025-09-01,62.5,67.8,57.4
2025-10-01,,,
2025-11-01,62.5,67.7,57.4
2025-12-01,62.4,67.7,57.3
